customer_id,age,gender,city,category,purchase_channel,payment_method,loyalty_tier,purchase_amount_inr,discount_applied,discount_pct,review_rating,days_since_last_purchase,total_orders_last_year,returned_item,subscribed_newsletter,churned
CUST00021,40,Female,Hyderabad,Sports & Fitness,Online App,Cash on Delivery,Silver,3069.31,0,0.0,4.1,207,7,0,0,1
CUST00022,25,Male,Delhi,Books,Online App,Net Banking,Silver,504.8,1,6.9,4.1,110,9,0,1,1
CUST00023,33,Male,Kolkata,Books,Online App,UPI,Bronze,353.76,0,0.0,2.3,40,1,0,0,1
CUST00024,37,Female,Ahmedabad,Apparel,In-Store,UPI,Silver,771.3,1,24.3,3.6,33,4,0,1,0
CUST00025,57,Male,Delhi,Grocery,In-Store,Credit Card,Silver,877.5,0,0.0,2.1,71,3,0,1,0
CUST00026,36,Male,Kolkata,Electronics,In-Store,Debit Card,Platinum,5408.98,1,15.0,4.7,23,5,0,1,0
CUST00027,57,Female,Bangalore,Apparel,Online App,UPI,Silver,1695.58,0,0.0,2.5,19,2,0,0,0
CUST00028,28,Female,Bhopal,Grocery,Website,UPI,Platinum,633.53,0,0.0,5.0,4,7,0,0,0
CUST00029,34,Male,Kolkata,Electronics,In-Store,Cash on Delivery,Bronze,8726.39,1,26.7,4.3,8,2,0,0,1
CUST00030,44,Female,Pune,Apparel,Website,Debit Card,Bronze,1254.49,0,0.0,4.5,22,8,0,0,0
CUST00031,28,Female,Delhi,Electronics,Website,Cash on Delivery,Platinum,4873.68,0,0.0,4.7,1,8,0,0,0
CUST00032,28,Female,Delhi,Apparel,Online App,Credit Card,Silver,1558.7,0,0.0,4.4,209,9,0,1,1
CUST00033,48,Male,Bhopal,Home & Kitchen,In-Store,UPI,Platinum,2218.48,0,0.0,4.5,22,2,0,0,0
CUST00034,30,Male,Pune,Home & Kitchen,Website,Debit Card,Bronze,3882.84,1,14.2,4.9,26,7,0,1,0
CUST00035,18,Male,Delhi,Books,Online App,Debit Card,Bronze,768.68,0,0.0,3.6,5,4,0,1,0
CUST00036,42,Male,Ahmedabad,Sports & Fitness,Website,Cash on Delivery,Bronze,1460.85,0,0.0,4.1,3,8,1,1,0
CUST00037,18,Male,Chennai,Sports & Fitness,Website,Net Banking,Bronze,2930.42,0,0.0,3.6,28,2,1,1,1
CUST00038,33,Male,Chennai,Apparel,Website,UPI,Bronze,1449.29,1,35.6,5.0,147,5,1,1,1
CUST00039,36,Male,Bangalore,Grocery,In-Store,Net Banking,Bronze,703.53,1,16.6,4.0,156,7,1,1,1
CUST00040,25,Male,Pune,Apparel,Website,UPI,Bronze,2251.11,0,0.0,3.2,14,4,0,0,0
CUST00041,18,Female,Chennai,Home & Kitchen,In-Store,Credit Card,Bronze,2518.98,1,18.9,4.4,7,9,0,0,0
CUST00042,44,Female,Chennai,Books,Website,Cash on Delivery,Bronze,503.19,0,0.0,2.9,21,6,0,0,1
CUST00043,34,Female,Mumbai,Electronics,Website,Debit Card,Gold,4584.57,0,0.0,3.5,26,7,0,0,0
CUST00044,40,Female,Jaipur,Apparel,Online App,Net Banking,Bronze,1944.55,1,23.8,4.0,33,6,0,1,0
CUST00045,50,Male,Chennai,Beauty & Personal Care,Online App,Debit Card,Silver,1216.02,1,9.4,3.5,0,8,1,0,0
CUST00046,30,Female,Chennai,Beauty & Personal Care,Website,Cash on Delivery,Bronze,286.78,0,0.0,3.9,27,5,1,1,0
CUST00047,38,Male,Jaipur,Sports & Fitness,Online App,Cash on Delivery,Gold,1123.29,0,0.0,3.4,102,4,0,1,0
CUST00048,22,Female,Ahmedabad,Beauty & Personal Care,Online App,Credit Card,Silver,606.42,1,38.6,3.4,4,4,0,1,0
CUST00049,26,Female,Bhopal,Books,Website,Debit Card,Bronze,488.52,1,13.2,3.8,73,6,0,1,0
CUST00050,31,Male,Mumbai,Electronics,Online App,Net Banking,Silver,6032.52,1,20.9,3.0,101,5,1,0,0
CUST00051,31,Female,Ahmedabad,Beauty & Personal Care,Online App,UPI,Gold,882.8,1,36.0,2.9,17,6,0,0,0
CUST00052,26,Female,Mumbai,Sports & Fitness,Online App,UPI,Silver,2896.65,1,28.4,4.4,25,5,1,0,0
CUST00053,18,Female,Jaipur,Grocery,Website,Cash on Delivery,Silver,857.63,1,20.6,3.3,9,4,0,1,0
CUST00054,28,Female,Pune,Grocery,Online App,Debit Card,Gold,809.27,0,0.0,3.8,90,7,0,0,0
CUST00055,27,Male,Pune,Apparel,Online App,Debit Card,Gold,719.02,0,0.0,4.2,12,4,0,0,0
CUST00056,18,Male,Hyderabad,Electronics,Online App,Debit Card,Silver,3326.7,0,0.0,3.9,18,4,0,0,0
CUST00057,46,Male,Jaipur,Beauty & Personal Care,Website,Debit Card,Bronze,1177.79,0,0.0,3.2,23,8,1,1,0
CUST00058,60,Male,Ahmedabad,Apparel,Online App,Net Banking,Bronze,1760.54,0,0.0,4.1,6,5,0,0,0
CUST00059,43,Male,Ahmedabad,Apparel,In-Store,Cash on Delivery,Bronze,1043.51,0,0.0,5.0,26,7,0,0,0
CUST00060,29,Female,Bangalore,Grocery,Website,UPI,Bronze,765.97,0,0.0,4.6,5,9,0,0,0
CUST00061,43,Female,Pune,Grocery,In-Store,Net Banking,Bronze,460.3,0,0.0,4.0,64,6,0,0,0
CUST00062,28,Female,Hyderabad,Books,Online App,UPI,Gold,373.07,1,12.0,3.4,57,8,0,0,0
CUST00063,41,Male,Ahmedabad,Books,Online App,Credit Card,Silver,439.99,0,0.0,4.2,31,7,0,1,0
CUST00064,21,Male,Bangalore,Home & Kitchen,Online App,UPI,Platinum,3856.18,1,36.8,5.0,24,10,0,1,0
CUST00065,27,Male,Delhi,Sports & Fitness,Website,Credit Card,Bronze,1703.95,1,34.8,4.9,0,8,0,0,0
CUST00066,27,Male,Chennai,Sports & Fitness,Online App,Debit Card,Bronze,1623.06,1,5.4,3.7,31,5,0,0,0
CUST00067,31,Female,Chennai,Books,In-Store,Net Banking,Gold,250.83,0,0.0,5.0,3,5,0,1,0
CUST00068,34,Female,Jaipur,Grocery,In-Store,Net Banking,Silver,500.4,1,25.7,4.0,67,6,0,0,0
CUST00069,32,Male,Pune,Beauty & Personal Care,Online App,Net Banking,Silver,1090.0,1,16.8,4.6,23,3,0,0,0
CUST00070,19,Female,Hyderabad,Home & Kitchen,Website,Debit Card,Bronze,1580.07,1,35.8,3.2,50,1,0,0,1
CUST00071,39,Male,Delhi,Apparel,Website,Net Banking,Silver,694.44,0,0.0,3.6,12,8,0,1,0
CUST00072,31,Female,Mumbai,Electronics,Online App,Net Banking,Silver,5087.04,0,0.0,2.8,24,7,0,0,0
CUST00073,18,Female,Kolkata,Books,Website,Debit Card,Gold,755.36,0,0.0,4.1,64,6,0,0,0
CUST00074,32,Male,Chennai,Electronics,Website,Credit Card,Bronze,8379.43,1,14.7,4.5,13,6,0,1,0
CUST00075,36,Female,Delhi,Grocery,Online App,Credit Card,Bronze,426.06,0,0.0,4.3,47,2,0,0,0
CUST00076,18,Male,Mumbai,Sports & Fitness,Online App,Credit Card,Silver,2966.78,1,8.6,5.0,49,5,0,0,0
CUST00077,30,Female,Ahmedabad,Home & Kitchen,Online App,UPI,Bronze,2374.73,1,9.0,2.6,22,9,0,0,0
CUST00078,40,Male,Bangalore,Apparel,In-Store,Debit Card,Bronze,1491.63,0,0.0,2.5,2,5,0,0,1
CUST00079,55,Male,Bhopal,Beauty & Personal Care,Website,Net Banking,Bronze,882.98,1,20.0,2.5,76,7,0,0,1
CUST00080,29,Male,Hyderabad,Books,Online App,UPI,Bronze,212.52,0,0.0,3.7,35,11,0,0,0
CUST00081,43,Female,Jaipur,Beauty & Personal Care,Online App,Credit Card,Bronze,948.19,0,0.0,4.3,159,7,0,0,1
CUST00082,31,Male,Pune,Grocery,Website,Cash on Delivery,Silver,408.1,1,19.9,5.0,58,5,0,1,0
CUST00083,19,Female,Bangalore,Electronics,Online App,Debit Card,Silver,5553.91,1,37.2,4.5,72,12,0,0,0
CUST00084,34,Female,Kolkata,Home & Kitchen,Website,Net Banking,Silver,1016.88,1,36.1,3.1,15,2,0,1,0
CUST00085,18,Male,Delhi,Apparel,In-Store,Cash on Delivery,Silver,620.45,0,0.0,2.9,134,7,0,1,1
CUST00086,41,Male,Bangalore,Beauty & Personal Care,Website,Net Banking,Platinum,1320.16,0,0.0,5.0,32,3,0,1,0
CUST00087,28,Female,Delhi,Beauty & Personal Care,Online App,Debit Card,Bronze,839.48,0,0.0,3.6,63,5,0,0,0
CUST00088,21,Female,Pune,Books,In-Store,Cash on Delivery,Bronze,298.78,0,0.0,4.0,94,8,0,0,1
CUST00089,18,Female,Bhopal,Grocery,In-Store,Cash on Delivery,Silver,495.34,0,0.0,3.9,3,5,0,1,0
CUST00090,53,Female,Ahmedabad,Grocery,Online App,Debit Card,Silver,562.96,1,20.3,4.8,50,13,0,0,0
CUST00091,32,Male,Bangalore,Home & Kitchen,Website,Cash on Delivery,Silver,2329.11,0,0.0,5.0,7,3,0,0,0
CUST00092,25,Male,Bangalore,Beauty & Personal Care,In-Store,Debit Card,Silver,968.8,0,0.0,3.9,44,8,0,1,0
CUST00093,35,Male,Ahmedabad,Sports & Fitness,Online App,Credit Card,Platinum,2094.13,0,0.0,3.7,55,4,0,1,0
CUST00094,29,Female,Kolkata,Home & Kitchen,In-Store,Cash on Delivery,Bronze,1708.15,0,0.0,4.2,63,1,0,1,1
CUST00095,51,Female,Bangalore,Beauty & Personal Care,Website,Debit Card,Bronze,876.33,1,18.2,3.4,14,7,1,1,0
CUST00096,54,Male,Jaipur,Beauty & Personal Care,Online App,Net Banking,Bronze,439.09,1,29.7,4.7,135,6,0,0,1
CUST00097,43,Male,Ahmedabad,Electronics,Online App,Cash on Delivery,Bronze,4128.18,0,0.0,3.3,1,12,0,0,0
CUST00098,26,Female,Mumbai,Books,Online App,Credit Card,Bronze,485.37,1,14.3,4.5,71,4,0,0,0
CUST00099,25,Male,Chennai,Grocery,Website,Cash on Delivery,Bronze,696.0,0,0.0,2.5,71,2,0,1,1
CUST00100,40,Male,Jaipur,Electronics,Online App,Debit Card,Platinum,3685.85,1,20.2,1.7,41,6,0,1,0
CUST00101,60,Male,Ahmedabad,Apparel,Website,UPI,Bronze,1189.15,1,15.3,4.4,0,4,0,0,0
CUST00102,53,Female,Jaipur,Books,Website,Credit Card,Bronze,269.71,1,18.4,3.6,37,4,0,0,0
CUST00103,53,Male,Hyderabad,Beauty & Personal Care,Website,Net Banking,Bronze,1028.85,0,0.0,4.3,72,8,0,1,0
CUST00104,41,Male,Delhi,Beauty & Personal Care,In-Store,Cash on Delivery,Bronze,665.49,1,29.2,3.5,92,7,0,0,1
CUST00105,34,Female,Ahmedabad,Electronics,Online App,Cash on Delivery,Bronze,4716.06,0,0.0,4.5,3,4,0,0,0
CUST00106,22,Female,Pune,Electronics,Website,UPI,Platinum,1144.2,1,34.1,3.1,20,8,1,1,0
CUST00107,41,Male,Jaipur,Grocery,Online App,Credit Card,Silver,258.61,1,30.2,5.0,59,6,0,1,0
CUST00108,49,Male,Mumbai,Home & Kitchen,Website,UPI,Silver,747.57,1,8.2,3.9,92,7,0,1,1
CUST00109,46,Male,Hyderabad,Apparel,Website,Debit Card,Silver,860.12,1,34.1,2.5,3,6,0,1,0
CUST00110,31,Female,Pune,Books,In-Store,UPI,Silver,387.24,0,0.0,3.6,1,8,0,0,0
CUST00111,34,Female,Bhopal,Home & Kitchen,Online App,Net Banking,Bronze,1594.96,0,0.0,3.8,122,3,0,1,1
CUST00112,22,Female,Jaipur,Beauty & Personal Care,In-Store,Debit Card,Bronze,950.16,0,0.0,4.3,91,5,0,1,1
CUST00113,23,Female,Jaipur,Apparel,Website,Net Banking,Platinum,1509.25,0,0.0,4.1,26,10,0,0,0
CUST00114,26,Male,Pune,Beauty & Personal Care,Online App,Credit Card,Gold,1297.99,0,0.0,5.0,10,6,0,1,0
CUST00115,45,Female,Jaipur,Books,Website,Net Banking,Silver,404.57,1,26.5,4.2,60,9,1,0,0
CUST00116,49,Female,Hyderabad,Beauty & Personal Care,Online App,Credit Card,Gold,439.91,0,0.0,2.4,53,5,0,0,0
CUST00117,45,Female,Mumbai,Beauty & Personal Care,Online App,UPI,Platinum,1452.23,1,8.2,1.9,89,3,0,1,0
CUST00118,26,Male,Mumbai,Grocery,Online App,Credit Card,Gold,1104.71,0,0.0,2.3,34,6,0,0,0
CUST00119,42,Male,Hyderabad,Home & Kitchen,Website,Cash on Delivery,Bronze,2447.45,1,10.1,4.0,2,5,0,0,0
CUST00120,33,Male,Delhi,Books,In-Store,Credit Card,Bronze,482.38,1,13.3,5.0,16,5,0,0,0
CUST00121,35,Male,Bangalore,Books,Online App,UPI,Gold,209.88,0,0.0,3.4,37,5,0,0,0
CUST00122,37,Male,Ahmedabad,Sports & Fitness,Online App,Cash on Delivery,Bronze,1888.05,1,35.3,4.4,76,8,0,0,0
CUST00123,42,Male,Mumbai,Beauty & Personal Care,In-Store,Net Banking,Silver,698.24,0,0.0,5.0,4,7,1,0,0
CUST00124,24,Male,Chennai,Sports & Fitness,Online App,Credit Card,Bronze,2681.7,1,24.2,5.0,35,7,0,1,0
CUST00125,44,Female,Ahmedabad,Sports & Fitness,Website,UPI,Gold,2594.92,0,0.0,4.2,38,2,0,1,0
CUST00126,28,Male,Kolkata,Beauty & Personal Care,In-Store,Net Banking,Bronze,690.59,0,0.0,3.0,11,3,0,0,0
CUST00127,36,Female,Chennai,Books,Online App,Credit Card,Silver,169.94,0,0.0,4.2,34,8,0,0,0
CUST00128,43,Female,Delhi,Books,Website,Credit Card,Silver,271.68,1,24.7,4.5,34,7,0,0,0
CUST00129,34,Female,Kolkata,Grocery,In-Store,UPI,Platinum,918.42,1,17.3,4.0,43,6,0,0,0
CUST00130,47,Female,Hyderabad,Grocery,Online App,Cash on Delivery,Bronze,479.92,1,25.1,2.7,4,11,0,1,1
CUST00131,34,Male,Jaipur,Books,In-Store,Debit Card,Bronze,432.2,0,0.0,4.7,91,5,0,1,1
CUST00132,30,Female,Mumbai,Apparel,In-Store,Cash on Delivery,Silver,1213.53,0,0.0,3.9,46,8,0,1,0
CUST00133,29,Male,Bhopal,Apparel,Online App,Net Banking,Bronze,723.69,0,0.0,4.4,25,5,0,1,0
CUST00134,34,Male,Mumbai,Apparel,Online App,Cash on Delivery,Bronze,736.07,0,0.0,4.3,2,4,0,0,0
CUST00135,27,Female,Kolkata,Home & Kitchen,Online App,Cash on Delivery,Bronze,1933.83,0,0.0,3.6,32,9,0,1,0
CUST00136,35,Female,Bhopal,Books,Online App,Credit Card,Bronze,239.38,1,5.3,2.3,79,4,0,0,0
CUST00137,43,Male,Pune,Home & Kitchen,Online App,UPI,Silver,1499.13,0,0.0,4.0,10,3,0,0,0
CUST00138,21,Male,Bhopal,Sports & Fitness,In-Store,Debit Card,Bronze,1084.24,1,6.5,3.9,35,5,0,1,0
CUST00139,18,Female,Jaipur,Beauty & Personal Care,Website,Net Banking,Bronze,739.82,0,0.0,3.1,69,8,1,0,0
CUST00140,18,Female,Chennai,Electronics,Online App,UPI,Bronze,8383.15,1,23.3,3.4,48,5,0,0,0
CUST00141,56,Female,Hyderabad,Home & Kitchen,Website,UPI,Silver,2320.15,0,0.0,3.6,3,4,0,1,0
CUST00142,36,Female,Chennai,Books,In-Store,Credit Card,Bronze,572.45,0,0.0,4.9,9,4,0,1,0
CUST00143,44,Male,Bangalore,Grocery,Website,Net Banking,Gold,488.1,1,20.7,2.6,10,5,1,0,0
CUST00144,50,Female,Chennai,Apparel,Online App,Net Banking,Silver,891.11,0,0.0,4.7,175,8,0,0,0
CUST00145,18,Male,Pune,Beauty & Personal Care,Website,UPI,Bronze,198.76,0,0.0,4.4,12,7,0,1,0
CUST00146,35,Male,Jaipur,Sports & Fitness,Website,Net Banking,Silver,2403.05,1,30.9,3.2,27,8,0,1,0
CUST00147,38,Male,Chennai,Sports & Fitness,Website,Credit Card,Platinum,1331.02,0,0.0,3.4,31,11,0,1,0
CUST00148,40,Male,Bhopal,Books,Online App,Credit Card,Gold,412.38,1,23.3,3.1,72,7,0,0,0
CUST00149,25,Female,Kolkata,Beauty & Personal Care,Website,Cash on Delivery,Bronze,1133.38,1,16.7,3.8,17,9,0,0,0
CUST00150,38,Female,Pune,Home & Kitchen,Website,Cash on Delivery,Gold,857.42,0,0.0,5.0,71,4,0,0,0
CUST00151,54,Female,Pune,Books,Website,Net Banking,Bronze,789.59,1,8.0,5.0,73,4,0,1,0
CUST00152,44,Female,Bangalore,Books,Website,Cash on Delivery,Bronze,575.35,1,22.8,4.8,69,5,0,0,0
CUST00153,50,Male,Chennai,Grocery,Website,Credit Card,Platinum,876.63,0,0.0,3.0,45,7,0,1,0
CUST00154,54,Male,Chennai,Grocery,Website,Cash on Delivery,Bronze,739.45,0,0.0,2.3,15,9,0,1,0
CUST00155,33,Male,Ahmedabad,Electronics,Online App,Credit Card,Platinum,7690.05,1,31.3,5.0,65,6,0,0,0
CUST00156,28,Male,Pune,Grocery,Website,Credit Card,Bronze,426.61,1,39.5,3.1,12,6,0,0,0
CUST00157,18,Female,Bhopal,Sports & Fitness,Online App,Credit Card,Gold,2436.51,1,9.8,4.6,0,6,0,1,0
CUST00158,30,Female,Bhopal,Electronics,Website,Cash on Delivery,Gold,2501.28,0,0.0,4.4,37,5,0,0,0
CUST00159,40,Male,Kolkata,Electronics,In-Store,Credit Card,Gold,3690.76,1,37.6,4.8,5,5,0,0,0
CUST00160,63,Female,Hyderabad,Beauty & Personal Care,In-Store,Debit Card,Bronze,444.12,0,0.0,3.8,131,6,0,1,1
CUST00161,31,Female,Bangalore,Apparel,Online App,Net Banking,Silver,1859.94,0,0.0,3.3,8,8,0,0,0
CUST00162,25,Male,Delhi,Electronics,Online App,Credit Card,Silver,4390.12,1,23.5,3.2,107,8,0,0,1
CUST00163,44,Female,Delhi,Electronics,Online App,Cash on Delivery,Silver,3297.34,0,0.0,5.0,71,9,1,0,0
CUST00164,45,Male,Bhopal,Sports & Fitness,Online App,Credit Card,Bronze,1558.96,0,0.0,3.5,9,5,0,0,0
CUST00165,34,Male,Delhi,Sports & Fitness,In-Store,UPI,Platinum,2816.8,0,0.0,3.8,186,6,0,0,1
CUST00166,38,Male,Kolkata,Grocery,Website,Net Banking,Platinum,1202.02,0,0.0,4.1,99,7,0,1,0
CUST00167,32,Female,Hyderabad,Books,Website,UPI,Gold,685.07,1,16.6,3.8,79,5,0,0,0
CUST00168,18,Male,Ahmedabad,Books,Website,Credit Card,Gold,330.71,0,0.0,2.1,62,9,0,0,0
CUST00169,29,Female,Hyderabad,Electronics,Website,UPI,Bronze,5443.68,0,0.0,3.4,46,4,0,1,0
CUST00170,42,Female,Pune,Electronics,Website,Credit Card,Bronze,5425.03,1,6.7,4.1,92,8,0,0,1
CUST00171,35,Female,Kolkata,Beauty & Personal Care,Website,Net Banking,Bronze,1296.22,0,0.0,4.1,5,6,0,0,0
CUST00172,33,Female,Delhi,Books,Online App,Net Banking,Silver,582.99,1,24.1,4.5,0,8,0,0,0
CUST00173,18,Female,Pune,Beauty & Personal Care,Website,Net Banking,Bronze,793.34,0,0.0,2.5,16,7,0,1,0
CUST00174,42,Female,Jaipur,Beauty & Personal Care,Online App,UPI,Bronze,1164.35,1,17.7,3.3,1,7,0,1,0
CUST00175,36,Male,Bangalore,Grocery,Website,Net Banking,Bronze,879.74,0,0.0,4.5,25,10,0,0,0
CUST00176,63,Female,Jaipur,Electronics,Website,Net Banking,Platinum,4057.09,0,0.0,3.1,30,7,0,0,0
CUST00177,27,Female,Kolkata,Home & Kitchen,Website,Credit Card,Platinum,2167.41,0,0.0,3.5,160,5,0,0,1
CUST00178,26,Male,Pune,Grocery,Online App,Net Banking,Bronze,613.42,1,29.3,3.2,73,6,1,0,0
CUST00179,35,Male,Delhi,Beauty & Personal Care,Online App,Net Banking,Platinum,150.0,1,38.9,3.9,54,5,1,1,0
CUST00180,45,Male,Bhopal,Sports & Fitness,Online App,Debit Card,Gold,2355.86,1,37.5,5.0,16,3,0,1,0
CUST00181,35,Male,Delhi,Apparel,Website,Credit Card,Gold,904.91,0,0.0,3.3,21,5,0,0,0
CUST00182,37,Male,Jaipur,Electronics,Online App,Net Banking,Platinum,5421.46,1,23.4,3.7,49,3,0,1,0
CUST00183,36,Male,Bangalore,Home & Kitchen,Website,Net Banking,Silver,2867.87,0,0.0,4.2,5,4,0,1,0
CUST00184,41,Male,Bangalore,Beauty & Personal Care,Website,UPI,Gold,853.73,0,0.0,2.2,38,3,0,0,0
CUST00185,44,Male,Chennai,Sports & Fitness,In-Store,UPI,Bronze,2107.58,1,24.3,3.3,50,9,0,0,0
CUST00186,53,Male,Bhopal,Books,Online App,Cash on Delivery,Bronze,684.78,1,30.2,2.4,55,5,0,1,1
CUST00187,48,Male,Mumbai,Electronics,Online App,Cash on Delivery,Bronze,7012.23,0,0.0,3.4,23,8,0,1,0
CUST00188,31,Male,Ahmedabad,Books,Website,Debit Card,Silver,450.99,1,29.0,3.5,149,2,0,0,1
CUST00189,31,Male,Bangalore,Beauty & Personal Care,Online App,Net Banking,Bronze,1475.51,1,15.9,4.4,5,10,0,1,0
CUST00190,30,Female,Kolkata,Apparel,Website,Cash on Delivery,Silver,1287.98,0,0.0,2.8,35,6,0,0,0
CUST00191,18,Male,Bangalore,Electronics,Online App,Net Banking,Gold,5846.24,0,0.0,2.9,26,9,1,1,0
CUST00192,36,Female,Jaipur,Books,Online App,Credit Card,Silver,925.98,0,0.0,2.5,11,9,0,0,0
CUST00193,38,Male,Delhi,Beauty & Personal Care,Website,Credit Card,Bronze,889.47,0,0.0,4.9,39,6,0,0,0
CUST00194,33,Female,Pune,Sports & Fitness,Online App,UPI,Silver,2659.65,1,30.5,3.6,65,8,0,0,0
CUST00195,40,Female,Mumbai,Sports & Fitness,Website,Debit Card,Silver,150.0,0,0.0,4.5,0,6,0,1,0
CUST00196,36,Female,Jaipur,Books,Website,Credit Card,Platinum,289.02,0,0.0,3.3,142,4,0,0,0
CUST00197,41,Female,Bangalore,Apparel,Website,Net Banking,Silver,1447.77,0,0.0,3.3,63,7,0,0,0
CUST00198,38,Female,Bhopal,Beauty & Personal Care,Online App,Cash on Delivery,Bronze,656.94,1,16.1,3.8,19,6,0,1,0
CUST00199,50,Female,Jaipur,Home & Kitchen,Website,Cash on Delivery,Silver,2202.71,1,15.5,3.7,3,6,0,0,0
CUST00200,34,Male,Kolkata,Sports & Fitness,Online App,UPI,Silver,1609.55,0,0.0,2.1,11,8,0,1,0
CUST00201,26,Male,Mumbai,Sports & Fitness,Website,Cash on Delivery,Silver,1936.15,1,34.4,2.9,56,8,0,1,0
CUST00202,42,Male,Jaipur,Books,Online App,UPI,Silver,355.66,0,0.0,4.0,62,1,0,0,0
CUST00203,30,Female,Mumbai,Books,Online App,Credit Card,Silver,477.93,1,21.7,4.6,17,5,0,1,0
CUST00204,24,Female,Bhopal,Home & Kitchen,Website,Debit Card,Silver,2948.79,0,0.0,3.8,21,7,0,0,0
CUST00205,44,Male,Pune,Grocery,Online App,Credit Card,Silver,1046.12,0,0.0,4.0,15,4,0,0,0
CUST00206,36,Female,Pune,Electronics,Website,Cash on Delivery,Bronze,150.0,1,33.6,3.9,27,3,1,1,0
CUST00207,47,Female,Mumbai,Home & Kitchen,In-Store,UPI,Bronze,1918.32,0,0.0,3.5,48,6,0,0,0
CUST00208,39,Male,Bhopal,Home & Kitchen,In-Store,Debit Card,Bronze,1434.7,1,25.5,4.9,46,6,0,1,0
CUST00209,18,Male,Hyderabad,Electronics,Online App,Debit Card,Gold,4714.23,0,0.0,2.5,0,6,0,0,0
CUST00210,21,Male,Kolkata,Books,In-Store,Net Banking,Silver,454.04,0,0.0,4.4,50,6,1,0,0
CUST00211,31,Male,Delhi,Books,Website,Cash on Delivery,Gold,484.6,1,6.3,4.8,32,2,1,0,0
CUST00212,25,Male,Mumbai,Grocery,Online App,Net Banking,Bronze,746.13,1,35.5,3.9,84,5,0,0,0
CUST00213,32,Female,Jaipur,Sports & Fitness,Online App,Debit Card,Bronze,616.9,1,24.0,3.7,2,8,0,1,0
CUST00214,52,Female,Pune,Apparel,In-Store,Debit Card,Bronze,1362.63,0,0.0,3.0,68,7,0,0,0
CUST00215,31,Female,Pune,Sports & Fitness,Website,Credit Card,Bronze,478.29,1,36.4,4.2,2,1,0,0,1
CUST00216,40,Male,Kolkata,Books,Online App,Credit Card,Silver,253.97,1,5.2,3.8,142,5,0,0,1
CUST00217,58,Female,Chennai,Home & Kitchen,Website,Cash on Delivery,Bronze,532.86,1,29.2,3.4,8,7,0,0,0
CUST00218,33,Female,Bangalore,Beauty & Personal Care,Website,Debit Card,Silver,917.27,1,37.9,4.2,13,5,0,0,0
CUST00219,34,Male,Ahmedabad,Apparel,Website,Cash on Delivery,Bronze,1474.6,1,36.9,3.8,57,7,0,1,0
CUST00220,20,Male,Hyderabad,Books,Website,UPI,Silver,561.33,0,0.0,3.7,11,6,0,1,0
CUST00221,57,Male,Mumbai,Grocery,Website,Cash on Delivery,Bronze,630.83,0,0.0,3.6,22,9,0,1,0
